Security Code,Issuer Name,Security Id,Security Name,Status,Group,Face Value,ISIN No,Industry,Instrument,Sector Name,Industry New Name,Igroup Name,ISubgroup Name
NVDA,NVIDIA Corporation,NVDA,NVIDIA Corporation,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
AAPL,Apple Inc.,AAPL,Apple Inc.,Active,Technology,,,Consumer Electronics,Stock,Technology,Consumer Electronics,Technology,Consumer Electronics
MSFT,Microsoft Corporation,MSFT,Microsoft Corporation,Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
AMZN,"Amazon.com, Inc.",AMZN,"Amazon.com, Inc.",Active,Consumer Cyclical,,,Internet Retail,Stock,Consumer Cyclical,Internet Retail,Consumer Cyclical,Internet Retail
GOOG,Alphabet Inc.,GOOG,Alphabet Inc.,Active,Communication Services,,,Internet Content & Information,Stock,Communication Services,Internet Content & Information,Communication Services,Internet Content & Information
GOOGL,Alphabet Inc.,GOOGL,Alphabet Inc.,Active,Communication Services,,,Internet Content & Information,Stock,Communication Services,Internet Content & Information,Communication Services,Internet Content & Information
META,"Meta Platforms, Inc.",META,"Meta Platforms, Inc.",Active,Communication Services,,,Internet Content & Information,Stock,Communication Services,Internet Content & Information,Communication Services,Internet Content & Information
BRK-B,Berkshire Hathaway Inc. New,BRK-B,Berkshire Hathaway Inc.,Active,Financial Services,,,Insurance - Diversified,Stock,Financial Services,Insurance - Diversified,Financial Services,Insurance - Diversified
TSLA,"Tesla, Inc.",TSLA,"Tesla, Inc.",Active,Consumer Cyclical,,,Auto Manufacturers,Stock,Consumer Cyclical,Auto Manufacturers,Consumer Cyclical,Auto Manufacturers
AVGO,Broadcom Inc.,AVGO,Broadcom Inc.,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
LLY,Eli Lilly and Company,LLY,Eli Lilly and Company,Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
JPM,JP Morgan Chase & Co.,JPM,JPMorgan Chase & Co.,Active,Financial Services,,,Banks - Diversified,Stock,Financial Services,Banks - Diversified,Financial Services,Banks - Diversified
WMT,Walmart Inc.,WMT,Walmart Inc.,Active,Consumer Defensive,,,Discount Stores,Stock,Consumer Defensive,Discount Stores,Consumer Defensive,Discount Stores
V,Visa Inc.,V,Visa Inc.,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
UNH,UnitedHealth Group Incorporated,UNH,UnitedHealth Group Incorporated,Active,Healthcare,,,Healthcare Plans,Stock,Healthcare,Healthcare Plans,Healthcare,Healthcare Plans
XOM,Exxon Mobil Corporation,XOM,Exxon Mobil Corporation,Active,Energy,,,Oil & Gas Integrated,Stock,Energy,Oil & Gas Integrated,Energy,Oil & Gas Integrated
ORCL,Oracle Corporation,ORCL,Oracle Corporation,Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
MA,Mastercard Incorporated,MA,Mastercard Incorporated,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
COST,Costco Wholesale Corporation,COST,Costco Wholesale Corporation,Active,Consumer Defensive,,,Discount Stores,Stock,Consumer Defensive,Discount Stores,Consumer Defensive,Discount Stores
HD,"Home Depot, Inc. (The)",HD,"The Home Depot, Inc.",Active,Consumer Cyclical,,,Home Improvement Retail,Stock,Consumer Cyclical,Home Improvement Retail,Consumer Cyclical,Home Improvement Retail
JNJ,Johnson & Johnson,JNJ,Johnson & Johnson,Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
PG,Procter & Gamble Company (The),PG,The Procter & Gamble Company,Active,Consumer Defensive,,,Household & Personal Products,Stock,Consumer Defensive,Household & Personal Products,Consumer Defensive,Household & Personal Products
ABBV,AbbVie Inc.,ABBV,AbbVie Inc.,Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
BAC,Bank of America Corporation,BAC,Bank of America Corporation,Active,Financial Services,,,Banks - Diversified,Stock,Financial Services,Banks - Diversified,Financial Services,Banks - Diversified
NFLX,"Netflix, Inc.",NFLX,"Netflix, Inc.",Active,Communication Services,,,Entertainment,Stock,Communication Services,Entertainment,Communication Services,Entertainment
CRM,"Salesforce, Inc.",CRM,"Salesforce, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
CVX,Chevron Corporation,CVX,Chevron Corporation,Active,Energy,,,Oil & Gas Integrated,Stock,Energy,Oil & Gas Integrated,Energy,Oil & Gas Integrated
KO,Coca-Cola Company (The),KO,The Coca-Cola Company,Active,Consumer Defensive,,,Beverages - Non-Alcoholic,Stock,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Defensive,Beverages - Non-Alcoholic
TMUS,"T-Mobile US, Inc.",TMUS,"T-Mobile US, Inc.",Active,Communication Services,,,Telecom Services,Stock,Communication Services,Telecom Services,Communication Services,Telecom Services
MRK,"Merck & Company, Inc.",MRK,"Merck & Co., Inc.",Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
WFC,Wells Fargo & Company,WFC,Wells Fargo & Company,Active,Financial Services,,,Banks - Diversified,Stock,Financial Services,Banks - Diversified,Financial Services,Banks - Diversified
AMD,"Advanced Micro Devices, Inc.",AMD,"Advanced Micro Devices, Inc.",Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
CSCO,"Cisco Systems, Inc.",CSCO,"Cisco Systems, Inc.",Active,Technology,,,Communication Equipment,Stock,Technology,Communication Equipment,Technology,Communication Equipment
PEP,"Pepsico, Inc.",PEP,"PepsiCo, Inc.",Active,Consumer Defensive,,,Beverages - Non-Alcoholic,Stock,Consumer Defensive,Beverages - Non-Alcoholic,Consumer Defensive,Beverages - Non-Alcoholic
ACN,Accenture plc,ACN,Accenture plc,Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
ADBE,Adobe Inc.,ADBE,Adobe Inc.,Active,Technology,,,Software - Infrastructure,Stock,Technology,Software - Infrastructure,Technology,Software - Infrastructure
LIN,Linde plc,LIN,Linde plc,Active,Basic Materials,,,Specialty Chemicals,Stock,Basic Materials,Specialty Chemicals,Basic Materials,Specialty Chemicals
TMO,Thermo Fisher Scientific Inc,TMO,Thermo Fisher Scientific Inc.,Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
BX,Blackstone Inc.,BX,Blackstone Inc.,Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
MS,Morgan Stanley,MS,Morgan Stanley,Active,Financial Services,,,Capital Markets,Stock,Financial Services,Capital Markets,Financial Services,Capital Markets
MCD,McDonald's Corporation,MCD,McDonald's Corporation,Active,Consumer Cyclical,,,Restaurants,Stock,Consumer Cyclical,Restaurants,Consumer Cyclical,Restaurants
AXP,American Express Company,AXP,American Express Company,Active,Financial Services,,,Credit Services,Stock,Financial Services,Credit Services,Financial Services,Credit Services
NOW,"ServiceNow, Inc.",NOW,"ServiceNow, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
ABT,Abbott Laboratories,ABT,Abbott Laboratories,Active,Healthcare,,,Medical Devices,Stock,Healthcare,Medical Devices,Healthcare,Medical Devices
CAT,"Caterpillar, Inc.",CAT,Caterpillar Inc.,Active,Industrials,,,Farm & Heavy Construction Machinery,Stock,Industrials,Farm & Heavy Construction Machinery,Industrials,Farm & Heavy Construction Machinery
IBM,International Business Machines,IBM,International Business Machines Corporation,Active,Technology,,,Information Technology Services,Stock,Technology,Information Technology Services,Technology,Information Technology Services
TXN,Texas Instruments Incorporated,TXN,Texas Instruments Incorporated,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
GE,GE Aerospace,GE,GE Aerospace,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
PM,Philip Morris International Inc,PM,Philip Morris International Inc.,Active,Consumer Defensive,,,Tobacco,Stock,Consumer Defensive,Tobacco,Consumer Defensive,Tobacco
QCOM,QUALCOMM Incorporated,QCOM,QUALCOMM Incorporated,Active,Technology,,,Semiconductors,Stock,Technology,Semiconductors,Technology,Semiconductors
GS,"Goldman Sachs Group, Inc. (The)",GS,"The Goldman Sachs Group, Inc.",Active,Financial Services,,,Capital Markets,Stock,Financial Services,Capital Markets,Financial Services,Capital Markets
ISRG,"Intuitive Surgical, Inc.",ISRG,"Intuitive Surgical, Inc.",Active,Healthcare,,,Medical Instruments & Supplies,Stock,Healthcare,Medical Instruments & Supplies,Healthcare,Medical Instruments & Supplies
INTU,Intuit Inc.,INTU,Intuit Inc.,Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
DIS,Walt Disney Company (The),DIS,The Walt Disney Company,Active,Communication Services,,,Entertainment,Stock,Communication Services,Entertainment,Communication Services,Entertainment
DHR,Danaher Corporation,DHR,Danaher Corporation,Active,Healthcare,,,Diagnostics & Research,Stock,Healthcare,Diagnostics & Research,Healthcare,Diagnostics & Research
VZ,Verizon Communications Inc.,VZ,Verizon Communications Inc.,Active,Communication Services,,,Telecom Services,Stock,Communication Services,Telecom Services,Communication Services,Telecom Services
AMGN,Amgen Inc.,AMGN,Amgen Inc.,Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
CMCSA,Comcast Corporation,CMCSA,Comcast Corporation,Active,Communication Services,,,Telecom Services,Stock,Communication Services,Telecom Services,Communication Services,Telecom Services
BKNG,Booking Holdings Inc. Common St,BKNG,Booking Holdings Inc.,Active,Consumer Cyclical,,,Travel Services,Stock,Consumer Cyclical,Travel Services,Consumer Cyclical,Travel Services
RTX,RTX Corporation,RTX,RTX Corporation,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
T,AT&T Inc.,T,AT&T Inc.,Active,Communication Services,,,Telecom Services,Stock,Communication Services,Telecom Services,Communication Services,Telecom Services
UBER,"Uber Technologies, Inc.",UBER,"Uber Technologies, Inc.",Active,Technology,,,Software - Application,Stock,Technology,Software - Application,Technology,Software - Application
PFE,"Pfizer, Inc.",PFE,Pfizer Inc.,Active,Healthcare,,,Drug Manufacturers - General,Stock,Healthcare,Drug Manufacturers - General,Healthcare,Drug Manufacturers - General
AMAT,"Applied Materials, Inc.",AMAT,"Applied Materials, Inc.",Active,Technology,,,Semiconductor Equipment & Materials,Stock,Technology,Semiconductor Equipment & Materials,Technology,Semiconductor Equipment & Materials
NEE,"NextEra Energy, Inc.",NEE,"NextEra Energy, Inc.",Active,Utilities,,,Utilities - Regulated Electric,Stock,Utilities,Utilities - Regulated Electric,Utilities,Utilities - Regulated Electric
BLK,"BlackRock, Inc.",BLK,"BlackRock, Inc.",Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
SPGI,S&P Global Inc.,SPGI,S&P Global Inc.,Active,Financial Services,,,Financial Data & Stock Exchanges,Stock,Financial Services,Financial Data & Stock Exchanges,Financial Services,Financial Data & Stock Exchanges
PGR,Progressive Corporation (The),PGR,The Progressive Corporation,Active,Financial Services,,,Insurance - Property & Casualty,Stock,Financial Services,Insurance - Property & Casualty,Financial Services,Insurance - Property & Casualty
UNP,Union Pacific Corporation,UNP,Union Pacific Corporation,Active,Industrials,,,Railroads,Stock,Industrials,Railroads,Industrials,Railroads
LOW,"Lowe's Companies, Inc.",LOW,"Lowe's Companies, Inc.",Active,Consumer Cyclical,,,Home Improvement Retail,Stock,Consumer Cyclical,Home Improvement Retail,Consumer Cyclical,Home Improvement Retail
ETN,"Eaton Corporation, PLC",ETN,Eaton Corporation plc,Active,Industrials,,,Specialty Industrial Machinery,Stock,Industrials,Specialty Industrial Machinery,Industrials,Specialty Industrial Machinery
HON,Honeywell International Inc.,HON,Honeywell International Inc.,Active,Industrials,,,Conglomerates,Stock,Industrials,Conglomerates,Industrials,Conglomerates
SYK,Stryker Corporation,SYK,Stryker Corporation,Active,Healthcare,,,Medical Devices,Stock,Healthcare,Medical Devices,Healthcare,Medical Devices
KKR,KKR & Co. Inc.,KKR,KKR & Co. Inc.,Active,Financial Services,,,Asset Management,Stock,Financial Services,Asset Management,Financial Services,Asset Management
SCHW,Charles Schwab Corporation (The,SCHW,The Charles Schwab Corporation,Active,Financial Services,,,Capital Markets,Stock,Financial Services,Capital Markets,Financial Services,Capital Markets
ANET,"Arista Networks, Inc.",ANET,"Arista Networks, Inc.",Active,Technology,,,Computer Hardware,Stock,Technology,Computer Hardware,Technology,Computer Hardware
LMT,Lockheed Martin Corporation,LMT,Lockheed Martin Corporation,Active,Industrials,,,Aerospace & Defense,Stock,Industrials,Aerospace & Defense,Industrials,Aerospace & Defense
COP,ConocoPhillips,COP,ConocoPhillips,Active,Energy,,,Oil & Gas E&P,Stock,Energy,Oil & Gas E&P,Energy,Oil & Gas E&P
C,"Citigroup, Inc.",C,Citigroup Inc.,Active,Financial Services,,,Banks - Diversified,Stock,Financial Services,Banks - Diversified,Financial Services,Banks - Diversified
